AbsTime(s),CoreTemp(C),CoreFreq(MHz),CoreVolt(V),RingTemp(C),RingFreq(MHz),RingVolt(V)
1615847366.0234277,50.5,400.0,1.3188,51.0,3.346,1.3188
1615847366.14138,50.5,400.0,1.3188,51.5,3.345,1.3188
1615847366.261769,51.5,400.0,1.3188,51.0,3.345,1.3188
1615847366.3771956,51.5,400.0,1.3188,51.5,3.343,1.3188
1615847366.4946976,51.5,400.0,1.3188,51.5,3.346,1.3188
1615847366.6098936,51.5,400.0,1.3188,51.5,3.344,1.3188
1615847366.7330763,51.5,400.0,1.3188,52.1,3.342,1.3188
1615847366.8618271,51.5,400.0,1.3188,52.1,3.342,1.3188
1615847366.9795036,52.6,400.0,1.3188,52.1,3.343,1.3188
1615847367.0928898,51.5,400.0,1.3188,52.1,3.343,1.3188
1615847367.2109017,52.6,400.0,1.3188,52.1,3.342,1.3188
1615847367.3237114,52.1,399.999,1.3188,51.5,3.342,1.3188
1615847367.439696,52.1,400.0,1.3188,52.1,3.343,1.3188
1615847367.5638359,52.6,400.0,1.3188,52.6,3.341,1.3188
1615847367.7054625,52.1,400.0,1.3188,52.1,3.341,1.3188
1615847367.8209698,52.1,399.999,1.3188,51.5,3.341,1.3188
1615847367.9365985,52.6,400.0,1.3188,52.6,3.342,1.3188
1615847368.0512302,52.6,400.0,1.3188,52.1,3.34,1.3188
1615847368.1701548,52.6,400.0,1.3188,52.6,3.342,1.3188
1615847368.2840714,52.6,400.0,1.3188,53.2,3.34,1.3188
1615847368.4016309,53.2,399.999,1.3188,52.6,3.34,1.3188
1615847368.5376449,52.6,400.0,1.3188,52.6,3.342,1.3188
1615847368.6690657,53.2,400.0,1.3188,52.6,3.343,1.3188
1615847368.7827961,53.2,400.0,1.3188,53.2,3.34,1.3188
1615847368.8997424,52.6,400.0,1.3188,52.6,3.341,1.3188
1615847369.0130682,53.2,400.0,1.3188,52.6,3.339,1.3188
1615847369.1301866,53.2,400.0,1.3188,53.2,3.341,1.3188
1615847369.2434132,53.2,400.0,1.3188,53.2,3.343,1.3188
1615847369.366771,53.2,400.0,1.3188,52.6,3.342,1.3188
1615847369.5072045,53.2,400.0,1.3188,53.2,3.34,1.3188
1615847369.6270764,53.2,400.0,1.3188,53.2,3.341,1.3188
1615847369.7417476,53.2,400.0,1.3188,53.7,3.34,1.3188
1615847369.8595273,53.2,400.0,1.3188,53.7,3.34,1.3188
1615847369.973032,53.7,400.0,1.3188,53.7,3.342,1.3188
1615847370.0909529,53.7,400.0,1.3188,53.7,3.342,1.3188
1615847370.2040074,53.2,400.0,1.3188,53.2,3.342,1.3188
1615847370.3378327,53.7,400.0,1.3188,53.2,3.343,1.3188
1615847370.4687846,53.7,400.0,1.3188,53.7,3.341,1.3188
1615847370.5855052,52.6,400.0,1.3188,53.2,3.341,1.3188
1615847370.6987123,53.7,400.0,1.3188,53.7,3.341,1.3188
1615847370.814332,53.7,400.0,1.3188,53.7,3.34,1.3188
1615847370.928164,53.7,400.0,1.3188,53.7,3.341,1.3188
1615847371.0460413,53.7,400.0,1.3188,53.7,3.341,1.3188
1615847371.167903,53.7,400.0,1.3188,53.7,3.34,1.3188
1615847371.3003895,53.7,400.0,1.3188,53.7,3.333,1.3188
1615847371.4148245,53.7,400.0,1.3188,53.7,3.339,1.3188
1615847371.5312932,53.7,400.0,1.3188,53.7,3.34,1.3188
1615847371.6458185,53.7,399.999,1.3188,53.7,3.341,1.3188
1615847371.7622805,53.7,400.0,1.3188,53.7,3.34,1.3188
1615847371.875798,53.7,400.0,1.3188,54.2,3.34,1.3188
1615847372.0001264,53.7,400.0,1.3188,53.7,3.336,1.3188
1615847372.1249924,53.7,400.0,1.3188,53.7,3.339,1.3188
1615847372.239792,53.7,400.0,1.3188,53.7,3.34,1.3188
1615847372.353056,54.2,400.0,1.3188,53.7,3.34,1.3188
1615847372.4716573,54.2,400.0,1.3188,53.7,3.339,1.3188
1615847372.587044,54.8,400.0,1.3188,54.2,3.331,1.3188
1615847372.7045968,54.2,400.0,1.3188,54.2,3.339,1.3188
1615847372.833513,54.2,400.0,1.3188,53.7,3.339,1.3188
1615847372.9571335,53.7,400.0,1.3188,53.7,3.339,1.3188
1615847373.0731747,54.2,400.0,1.3188,53.7,3.338,1.3188
1615847373.191264,54.2,400.0,1.3188,54.2,3.33,1.3188
1615847373.3053353,53.7,400.0,1.3188,54.2,3.34,1.3188
1615847373.4223018,54.2,400.0,1.3188,53.7,3.338,1.3188
1615847373.536505,53.7,400.0,1.3188,54.8,3.338,1.3188
1615847373.671566,54.2,400.0,1.3188,54.2,3.339,1.3188
1615847373.819677,54.2,400.0,1.3188,54.2,3.341,1.3188
1615847373.9441817,53.7,400.0,1.3188,53.7,3.341,1.3188
1615847374.0572903,54.8,399.999,1.3188,54.8,3.34,1.3188
1615847374.1736438,54.8,400.0,1.3188,53.7,3.341,1.3188
1615847374.2878559,54.2,400.0,1.3188,53.7,3.34,1.3188
1615847374.406812,54.8,400.0,1.3188,53.7,3.34,1.3188
1615847374.5216525,53.7,399.999,1.3188,54.8,3.341,1.3188
1615847374.6593013,54.8,400.0,1.3188,54.2,3.337,1.3188
1615847374.7975695,54.2,400.0,1.3188,53.7,3.335,1.3188
1615847374.9156795,54.8,399.999,1.3188,54.2,3.338,1.3188
1615847375.0298262,54.8,400.0,1.3188,54.8,3.339,1.3188
1615847375.1467688,54.2,400.0,1.3188,54.8,3.339,1.3188
1615847375.260296,53.7,400.0,1.3188,54.2,3.34,1.3188
1615847375.376178,54.8,400.0,1.3188,54.8,3.34,1.3188
1615847375.4900656,54.8,399.999,1.3188,54.8,3.338,1.3188
1615847375.6245494,54.2,399.999,1.3188,54.8,3.337,1.3188
1615847375.7381191,54.8,400.0,1.3188,54.8,3.339,1.3188
1615847375.8601592,54.8,400.0,1.3188,54.8,3.337,1.3188
1615847375.9731927,54.2,400.0,1.3188,54.8,3.338,1.3188
1615847376.08939,54.2,400.0,1.3188,54.8,3.338,1.3188
1615847376.2031507,54.8,399.999,1.3188,55.3,3.329,1.3188
1615847376.3315284,54.8,400.0,1.3188,54.8,3.337,1.3188
1615847376.4639926,54.2,400.0,1.3188,54.8,3.337,1.3188
1615847376.5805774,54.8,400.0,1.3188,54.8,3.331,1.3188
1615847376.6945472,54.8,400.0,1.3188,54.8,3.336,1.3188
1615847376.8129764,54.8,400.0,1.3188,54.8,3.338,1.3188
1615847376.927543,54.8,400.0,1.3188,55.8,3.34,1.3188
1615847377.0438287,54.8,400.0,1.3188,54.8,3.338,1.3188
1615847377.171354,54.8,400.0,1.3188,55.3,3.338,1.3188
1615847377.2945535,54.8,400.0,1.3188,54.8,3.339,1.3188
1615847377.4074194,54.8,400.0,1.3188,54.8,3.338,1.3188
1615847377.5234127,55.8,400.0,1.3188,55.3,3.339,1.3188
1615847377.637502,55.3,400.0,1.3188,55.3,3.328,1.3188
1615847377.7550008,54.8,400.0,1.3188,55.3,3.338,1.3188
1615847377.8683789,55.3,399.999,1.3188,54.8,3.337,1.3188
